id,name.local,name.en,name.slug,code.id,zip_codes,geo.lat,geo.lon
MA007004_abbou-lakhal,Abbou Lakhal,Abbou Lakhal,abbou-lakhal,MA007004_abbou-lakhal,61005,32.704,-2.627
MA007004_ain-chair,Ain Chair,Ain Chair,ain-chair,MA007004_ain-chair,61103,32.704,-2.627
MA007004_ain-chouater,Ain Chouater,Ain Chouater,ain-chouater,MA007004_ain-chouater,61052,31.833,-2.957
MA007004_ain-echchair,Ain Echchair,Ain Echchair,ain-echchair,MA007004_ain-echchair,61222,32.267,-2.355
MA007004_ait-ahmad-ou-haddou,Ait Ahmad Ou Haddou,Ait Ahmad Ou Haddou,ait-ahmad-ou-haddou,MA007004_ait-ahmad-ou-haddou,61122,32.172,-3.264
MA007004_anoual-bouchaouen,Anoual Bouchaouen,Anoual Bouchaouen,anoual-bouchaouen,MA007004_anoual-bouchaouen,61272,32.446,-2.586
MA007004_beni-tajjite,Beni Tajjite,Beni Tajjite,beni-tajjite,MA007004_beni-tajjite,61102,32.289,-3.466
MA007004_bni-guil,Bni Guil,Bni Guil,bni-guil,MA007004_bni-guil,61006,32.704,-2.627
MA007004_bouanane,Bouanane,Bouanane,bouanane,MA007004_bouanane,61152,32.054,-3.061
MA007004_bouarfa,Bouarfa,Bouarfa,bouarfa,MA007004_bouarfa,61200,32.534,-1.962
MA007004_boumeriem,Boumeriem,Boumeriem,boumeriem,MA007004_boumeriem,61273,32.446,-2.586
MA007004_figuig,Figuig,Figuig,figuig,MA007004_figuig,61000,31.833,-2.957
MA007004_maatarka,Maatarka,Maatarka,maatarka,MA007004_maatarka,61012,32.704,-2.627
MA007004_mengoub,Mengoub,Mengoub,mengoub,MA007004_mengoub,61223,32.267,-2.355
MA007004_talsinnt,Talsinnt,Talsinnt,talsinnt,MA007004_talsinnt,61252,32.536,-3.441
MA007004_tendrara,Tendrara,Tendrara,tendrara,MA007004_tendrara,61302,33.05,-2
